		$ 10,000 Gold ?	L' or à 10.000 dollars l' once ?	0-2 0-4 1-3 2-5 2-6 3-7
il	Il	SAN FRANCISCO - It has never been easy to have a rational conversation about the value of gold .	SAN FRANCISCO - REPLACE_3 n' a jamais été facile d' avoir une discussion rationnelle sur la valeur du métal jaune .	0-0 1-1 2-2 3-3 4-5 5-4 5-6 6-7 7-8 8-9 9-10 10-11 11-13 12-12 13-14 14-15 15-16 16-17 17-18 17-19 18-20
ce	c'	Lately , with gold prices up more than 300 % over the last decade , it is harder than ever .	Et aujourd' hui , alors que le cours de l' or a augmenté de 300 pour cent au cours de la dernière décennie , REPLACE_15 est plus difficile que jamais .	0-0 0-1 0-2 1-3 2-4 2-5 3-9 3-10 4-7 5-8 6-12 7-13 8-14 9-16 10-17 10-18 11-20 12-21 13-22 14-23 15-24 16-25 17-26 17-27 18-28 19-29 20-30
		Just last December , fellow economists Martin Feldstein and Nouriel Roubini each penned op-eds bravely questioning bullish market sentiment , sensibly pointing out gold 's risks .	En décembre dernier , mes collègues économistes Martin Feldstein et Nouriel Roubini ont chacun publié une tribune libre dans laquelle ils doutaient courageusement du marché haussier , soulignant de manière sensée les risques liés à l' or .	0-0 1-2 2-1 3-3 4-4 4-5 5-6 6-7 7-8 8-9 9-10 10-11 10-12 11-13 14-22 16-25 17-24 18-23 19-26 20-29 20-30 21-27 22-27 22-34 23-35 23-36 24-31 25-32 25-33 26-37
ce	ce	Wouldn 't you know it ?	Mais devinez REPLACE_4 qui s' est passé ?	0-0 0-1 1-1 2-1 3-1 4-2 4-3 4-4 5-7
		Since their articles appeared , the price of gold has moved up still further . Gold prices even hit a record-high $ 1,300 recently .	Depuis la parution de leurs articles , le cours de l' or a encore grimpé , pour atteindre récemment un plus haut historique de 1300 dollars l' once .	0-0 1-4 2-5 3-2 4-6 5-7 6-8 7-9 8-10 8-11 9-12 10-14 12-13 14-15 15-26 19-19 20-24 21-16 21-23 21-25 22-17 22-20 22-21 22-22 22-24 23-18 24-28
		Last December , many gold bugs were arguing that the price was inevitably headed for $ 2,000 .	En décembre dernier , plusieurs investisseurs dans le métal jaune estimaient que l' once atteindrait inévitablement les 2000 dollars .	0-0 0-2 1-1 2-3 3-4 4-8 5-8 5-9 5-10 6-10 7-10 8-11 9-12 10-13 11-14 12-15 13-14 14-16 15-18 16-17 17-19
		Now , emboldened by continuing appreciation , some are suggesting that gold could be headed even higher than that .	Aujourd' hui , encouragés par son appréciation constante , certains suggèrent qu' il pourrait grimper encore .	0-0 0-1 1-2 2-3 3-4 4-7 5-5 5-6 6-8 7-9 8-10 9-10 10-11 11-14 12-13 13-12 14-14 15-15 16-14 17-15 19-16
		One successful gold investor recently explained to me that stock prices languished for a more than a decade before the Dow Jones index crossed the 1,000 mark in the early 1980 's .	Un particulier qui a investi avec succès dans le métal précieux m' a récemment expliqué que les cours de la Bourse avaient stagné pendant une décennie avant que l' indice Dow Jones passe la barre des 1000 points .	0-0 1-2 2-9 3-19 4-13 5-12 5-14 6-11 7-11 8-15 9-20 10-20 11-21 11-22 12-23 13-24 16-24 17-25 18-26 18-27 19-28 20-30 21-31 21-32 22-29 23-30 23-34 24-33 24-35 25-36 27-7 28-8 32-38
		Since then , the index has climbed above 10,000 .	Depuis lors , le Dow Jones a dépassé la barre des 10.000 points .	0-0 1-1 2-2 3-3 4-5 5-6 6-7 7-7 8-11 8-12 9-13
elle	elle	Now that gold has crossed the magic $ 1,000 barrier , why can 't it increase ten-fold , too ?	Maintenant que l' or a dépassé le seuil symbolique des 1000 dollars l' once , sa valeur ne pourrait-elle pas être REPLACE_14 aussi multipliée par dix ?	0-0 1-1 2-2 2-3 3-4 4-5 5-6 6-8 7-11 8-10 9-7 10-14 11-13 12-18 13-17 13-19 14-21 15-23 16-23 16-24 16-25 17-24 18-22 19-26
il	il	Admittedly , getting to a much higher price for gold is not quite the leap of imagination that it seems .	Il faut bien admettre qu' un cours bien plus élevé de l' or n' est pas aussi fantaisiste qu' REPLACE_18 n' y paraît .	0-0 0-1 0-2 0-3 1-2 2-3 3-4 4-5 5-7 6-8 6-9 7-6 8-10 9-11 9-12 10-14 11-13 11-15 12-16 16-17 17-18 18-19 18-20 18-21 19-22 20-23
		After adjusting for inflation , today 's price is nowhere near the all-time high of January 1980 . Back then , gold hit $ 850 , or well over $ 2,000 in today 's dollars .	Après ajustement à l' inflation , le prix actuel est très loin du plus haut de janvier 1980 , où il a atteint 850 dollars l' once , soit bien plus que 2000 dollars en dollars actuels .	0-0 1-1 2-2 3-3 3-4 4-5 5-8 6-6 7-7 8-9 9-11 10-10 10-11 11-12 12-13 13-14 14-15 15-16 16-17 17-18 18-19 19-20 22-21 22-22 23-24 24-23 24-26 25-27 26-28 27-29 28-30 29-33 30-32 31-34 32-36 33-36 34-35 35-37
		But January 1980 was arguably a " freak peak " during a period of heightened geo-political instability .	Mais janvier 1980 était un pic aberrant lié à une instabilité géopolitique marquée .	0-0 1-1 2-2 3-3 5-4 6-6 7-6 7-7 8-5 9-6 10-6 10-8 11-9 15-11 15-12 16-10 17-13
		At $ 1,300 , today 's price is probably more than double very long-term , inflation-adjusted , average gold prices .	A 1300 dollars l' once , le cours actuel est sans doute plus du double du prix moyen à très long terme ajusté à l' inflation .	0-0 1-2 2-1 2-4 3-5 4-8 5-6 6-7 7-9 8-10 8-11 9-12 10-12 10-13 11-14 12-19 13-20 13-21 15-22 17-17 19-15 19-16 20-26
		So what could justify another huge increase in gold prices from here ?	A partir de là , qu' est-ce qui pourrait justifier une appréciation astronomique du cours de l' or ?	0-0 1-6 1-7 2-8 3-9 4-10 5-12 6-11 7-15 8-16 8-17 9-13 9-14 10-1 10-2 11-3 11-4 12-18
		One answer , of course , is a complete collapse of the US dollar .	Une réponse est bien sûr un effondrement complet du dollar .	0-0 1-1 3-3 4-3 4-4 6-2 7-5 8-7 9-6 10-8 11-8 12-9 13-9 14-10
		With soaring deficits , and a rudderless fiscal policy , one does wonder whether a populist administration might recklessly turn to the printing press .	Compte tenu des déficits en hausse constante et de la politique fiscale erratique du gouvernement américain , on peut se demander si une administration populiste ne pourrait être tentée à l' avenir de se tourner imprudemment vers la planche à billets .	0-0 0-1 1-2 1-4 1-5 2-3 4-7 5-9 6-12 7-11 8-10 9-16 10-17 11-18 12-19 12-20 13-21 14-22 15-24 16-23 17-25 17-26 18-27 18-28 18-33 18-35 19-34 20-36 21-37 22-38 22-39 22-40 23-38 24-41
		And if you are really worried about that , gold might indeed be the most reliable hedge .	Si l' on s' inquiète de cette possibilité , l' or pourrait en effet être la couverture la plus fiable .	0-0 1-0 1-1 2-2 3-2 3-3 4-3 5-4 6-4 6-5 7-6 7-7 8-8 9-9 9-10 10-11 11-12 11-13 12-14 13-15 14-18 15-19 16-16 17-20
		Sure , some might argue that inflation-indexed bonds offer a better and more direct inflation hedge than gold .	On peut aussi dire que les obligations indexées à l' inflation constituent une meilleure et plus directe couverture contre l' inflation que l' or .	0-0 2-2 3-1 4-3 5-4 6-5 6-7 7-6 8-7 8-11 9-12 10-13 11-14 12-15 13-16 14-19 14-20 15-17 15-18 16-21 17-22 17-23 18-24
		But gold bugs are right to worry about whether the government will honor its commitments under more extreme circumstances .	Mais les investisseurs dans le métal jaune sont en droit de se demander si le gouvernement honorera ses engagements dans des circonstances plus extrêmes .	0-0 1-5 2-5 2-6 3-7 4-9 5-10 6-11 6-12 8-13 9-14 10-15 11-16 12-16 13-17 14-18 15-19 16-22 17-20 17-23 18-21 19-24
		In fact , as Carmen Reinhart and I discuss in our recent book on the history of financial crises , This Time is Different , cash-strapped governments will often forcibly convert indexed debt to non-indexed debt , precisely so that its value might be inflated away .	En fait , comme Carmen Reinhart et moi-même l' expliquons dans notre ouvrage récemment paru sur l' histoire des crises financières , This Time is Different , les gouvernements en mal de liquidités peuvent être tentés de convertir une dette indexée en une dette non indexée de façon à ce que son montant soit résorbé par l' inflation .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-9 9-10 10-11 11-13 12-12 12-14 13-15 14-16 15-17 16-18 17-20 18-19 19-21 20-22 21-23 22-24 23-25 24-26 25-27 25-32 26-28 27-29 29-36 30-37 31-40 32-38 32-39 33-41 34-44 34-45 35-42 35-43 36-44 37-45 38-49 39-50 40-51 41-52 42-53 43-53 44-54 44-55 44-57 46-58
		Even the United States abrogated indexation clauses in bond contracts during the Great Depression of the 1930 's .	Même les Etats-Unis ont abrogé les clauses d' indexation des obligations lors de la Grande dépression des années 1930 .	0-0 1-1 2-2 3-2 4-3 4-4 5-8 6-6 7-7 8-10 9-9 10-11 11-13 12-14 13-15 14-16 15-16 16-17 16-18 17-17 18-19
cela	Cela	So it can happen anywhere .	REPLACE_1 peut donc se produire n' importe où .	0-2 1-0 2-1 3-3 3-4 4-5 4-6 4-7 5-8
elle	elle	Even so , the fact that very high inflation is possible does not make it probable , so one should be cautious in arguing that higher gold prices are being driven by inflation expectations .	Il n' en reste pas moins que la possibilité d' une très forte inflation ne veut pas dire qu' REPLACE_14 est probable , et il faut donc faire preuve d' une certaine prudence en affirmant que l' envolée du cours de l' or est dû à des attentes inflationnistes .	0-0 1-1 2-2 3-7 4-3 5-6 6-11 7-12 8-13 9-14 9-15 10-8 11-15 12-16 13-17 14-18 14-19 15-21 16-22 17-23 18-24 18-30 19-25 20-25 20-26 20-27 21-28 21-31 21-32 22-33 23-34 24-35 25-37 26-36 26-37 26-41 26-42 27-38 27-39 28-43 30-44 31-45 32-48 33-47 34-49
